C,M_opt,N_opt,K_opt,n_eff_opt,gamma_eff_opt,risk_opt,K_time_cap,K_wd_cap,a,b,theta,q_eff,alpha,weight_decay,phase
49238826.317067415,17968.991588704448,2740.210883509991,21.544346900318832,999.9999999999994,0.36493541647388805,0.3205964154277555,33.72127556411978,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
70170382.86703837,23147.015157363156,3031.50891767213,21.544346900318832,999.9999999999994,0.32986873110302145,0.31792694881687367,35.26987604763376,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
100000000.0,29887.778773568567,3345.849176601762,21.544346900318832,999.9999999999994,0.29887778773568546,0.31551431214305303,36.85082975456172,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
142510267.03029963,38682.95452121398,3684.058490210361,21.544346900318832,999.9999999999994,0.2714397729181816,0.31333395638320527,38.46218986721153,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
203091762.0904739,50184.89128103344,4046.8706199475046,21.544346900318832,999.9999999999994,0.24710451455277097,0.31136377408273974,40.10182544324811,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
289426612.47167516,63318.80242800332,4570.9426169385915,21.544346900318832,999.9999999999994,0.21877325615383764,0.3095834677980211,42.33204321178496,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
412462638.29013646,82486.69651492774,5000.3534596089985,21.544346900318832,999.9999999999994,0.19998586261503887,0.3079735852835829,44.05551810692857,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
587801607.2274925,107711.6014563969,5457.180092763197,21.544346900318832,999.9999999999994,0.18324482296747108,0.306519569500304,45.80098244653051,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
837677640.0682924,136545.3434756175,6134.7946311905835,21.544346900318832,999.9999999999994,0.1630046415760667,0.3052048321883032,48.246596224524964,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
1193776641.7144358,179041.34614416916,6667.603139853367,21.544346900318832,999.9999999999994,0.1499789323126978,0.3040173596212264,50.06590924142321,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
1701254279.8525858,227641.76138006058,7473.38392366525,21.544346900318832,999.9999999999994,0.13380819321129683,0.30294340031818406,52.66999068367131,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
2424462017.0823307,289777.20338021015,8366.641643308458,21.544346900318832,999.9999999999994,0.11952226982253839,0.3019734132364417,55.38039826205824,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
3455107294.5922184,382216.1558183697,9039.668370884081,21.544346900318832,999.9999999999994,0.11062352721045665,0.30109669757148916,57.31786420530454,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
4923882631.706752,487983.91984481236,10090.255911040336,21.544346900318832,999.9999999999994,0.09910551415309905,0.30030403871546185,60.18830048190587,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
7017038286.703836,623757.3253347694,11249.628664381304,21.544346900318832,999.9999999999994,0.08889182299556342,0.29958789686996873,63.169270416778026,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
10000000000.0,798251.0221187457,12527.387654897893,21.544346900318832,999.9999999999994,0.07982510221187453,0.2989408012420149,66.26303760334623,21.544346900318832,3.0,1.4,0.5,0.25,2.25,0.001,hard_source_time_limited
10000.0,34.4886299151175,289.9506308198306,20.57024657340258,289.9506308198306,1.0,0.6119006479307331,20.57024657340258,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
14251.026703029993,40.32048506874163,353.4438308153706,22.861473375500974,353.4438308153706,1.0,0.5786007840175464,22.861473375500974,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
20309.17620904735,46.58182967881438,435.9892333358484,25.569392381063494,435.98923333584827,0.9999999999999998,0.547254340311603,25.569392381063494,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
28942.661247167518,54.684496462198375,529.2663025099746,28.35477879154326,529.2663025099745,0.9999999999999998,0.5177340251988783,28.35477879154326,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
41246.26382901348,63.3635066661915,650.9466726061266,31.66340039288121,650.9466726061266,1.0,0.48992533081746803,31.66340039288121,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
58780.16072274912,73.506859292342,799.6554510508502,35.335796171380935,799.6554510508503,1.0,0.46372079738092176,35.335796171380935,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
83767.76400682924,85.37489979872112,981.1755469619192,39.40925714420963,981.175546961919,0.9999999999999999,0.43901986631712103,39.40925714420963,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
119377.66417144357,119.95610072091662,995.1779313765891,39.70821758055694,995.1779313765888,0.9999999999999998,0.41658762714342396,39.70821758055694,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
170125.42798525892,170.95373475765592,995.1547898408232,39.70772511833792,995.154789840823,0.9999999999999998,0.3971188388115101,39.70772511833792,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
242446.20170823307,242.61337143614705,999.3109624299583,39.79608479323162,999.3109624299582,0.9999999999999999,0.38012588252100077,39.79608479323162,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
345510.7294592218,335.82975593899295,1028.8270272333687,39.81071705534972,999.9999999999998,0.9719806862861214,0.36540505401842577,40.41872358507974,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
492388.26317067415,434.46527124132314,1133.3201886628535,39.81071705534972,999.9999999999998,0.882363175035158,0.3522822434164421,42.55867190340913,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
701703.8286703837,565.4046078234065,1241.0649275952621,39.81071705534972,999.9999999999998,0.805759616410755,0.3404250339028392,44.67080046497928,39.81071705534972,3.0,1.4,0.75,0.375,1.875,0.001,hard_source_time_limited
